Cluster;21;1;13;11;19;29;18;9;8;31;32;39;35;15;30;27;28;17;14;25;6;5;10;26;24;40;2;3;4;7;12;16;20;22;23;33;34;36;37;38;41
DCs -> pDCs;616;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;2.00;649;1.00;3.00;3.00;0;0;0;0;0;0;2.00;23.0;2.00;2.00;1.00;1.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;0;18542;0;0;0;0;2.00;3.00;0;0;4368;134;0;0;0;0;0;0;0;9.00;4.00;4.00;2.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;0;7.00;2.00;2689;0;0;1.00;0;1.00;0;145;8.00;685;3.00;13.0;24.0;7.00;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;0;654;24.0;17.0;126;27.0;23.0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;0;0;191;0;0;95.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;0;0;5.00;4076;3.00;3053;4.00;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;0;87.0;0;228;4151;38.0;2913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;0;18.0;185;0;0;0;3.00;0;3.00;680;0;5.00;135;30.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;1.00;1756;13.0;0;0;0;0;1.00;1.00;614;0;2.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;0;126;9.00;0;42.0;1.00;56.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;6.00;2.00;0;3.00;0;2.00;79.0;428;107;260;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
