Cluster;25;6;26;24;1;20;27;15;19;34;32;18;21;33;23;2;11;5;7;3;4;8;9;10;12;13;14;16;17;22;28;29;30;31
DCs -> pDCs;697;4.00;0;0;0;0;0;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;2.00;892;0;0;4.00;1.00;0;0;11.0;1.00;1.00;7.00;7.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;8485;8.00;0;0;54.0;0;0;0;413;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;948;8351;0;0;130;0;0;0;0;1.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;3.00;0;0;18313;74.0;0;10613;18.0;0;0;0;0;0;0;33.0;0;6.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;5.00;21.0;1.00;0;56.0;3581;0;3.00;791;10.0;0;40.0;10.0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;78.0;206;0;0;755;0;0;0;0;0;0;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;9.00;0;0;0;375;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;2.00;1.00;1488;1433;0;47.0;0;1.00;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;3.00;0;0;275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;1.00;13.0;9.00;9.00;1080;0;0;0;167;0;29.0;0;0;3.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;5.00;1.00;244;846;0;2.00;13.0;0;0;0;2.00;2.00;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

