Cluster;33;1;26;4;9;7;14;24;27;31;21;3;16;29;30;18;36;34;12;19;35;20;42;39;40;41;5;23;11;25;2;6;8;10;13;15;17;22;28;32;37;38
DCs -> pDCs;695;5.00;0;0;0;0;0;0;0;0;0;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;2.00;721;0;1.00;1.00;5.00;0;0;0;0;0;18.0;169;0;0;0;1.00;3.00;0;0;3.00;1.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;325;0;0;0;52.0;1.00;7.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;0;22.0;0;3286;3.00;2.00;1.00;0;0;295;0;855;0;3.00;0;2.00;6.00;16.0;0;0;21.0;8.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;8.00;0;0;21706;1.00;3.00;0;1.00;0;0;124;0;4313;0;0;2869;0;12.0;0;0;0;1.00;8.00;4.00;1.00;6.00;2.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;34.0;0;0;761;58.0;121;51.0;0;15.0;0;0;0;2.00;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;15.0;0;0;0;4618;270;31.0;0;2946;0;0;0;1080;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;0;0;80.0;36.0;5061;4248;0;6.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;0;0;145;16.0;0;0;12.0;3.00;929;9.00;1.00;1.00;0;0;145;0;28.0;0;22.0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;0;12.0;2128;0;1.00;2.00;1.00;796;0;1.00;0;30.0;0;1.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;5.00;2.00;0;1.00;0;0;144;448;448;1.00;43.0;0;0;0;22.0;0;0;0;1.00;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;6.00;0;0;59.0;0;75.0;132;0;0;0;0;0;0;0;0;0;6.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
